,IncidentDate,Borough,counts
241,2022-04-08,Croydon,22
242,2022-04-08,Ealing,18
243,2022-04-08,Enfield,12
244,2022-04-08,Greenwich,14
245,2022-04-08,Hackney,21
246,2022-04-08,Hammersmith and Fulham,9
247,2022-04-08,Haringey,5
248,2022-04-08,Harrow,2
249,2022-04-08,Havering,10
250,2022-04-08,Heathrow,1
251,2022-04-08,Hillingdon,11
252,2022-04-08,Hounslow,17
253,2022-04-08,Islington,16
254,2022-04-08,Kensington and Chelsea,14
255,2022-04-08,Kingston upon Thames,3
256,2022-04-08,Lambeth,16
257,2022-04-08,Lewisham,15
258,2022-04-08,Merton,4
259,2022-04-08,Newham,24
260,2022-04-08,Out of force,3
261,2022-04-08,Redbridge,5
262,2022-04-08,Southwark,16
263,2022-04-08,Sutton,6
264,2022-04-08,Tower Hamlets,11
265,2022-04-08,Waltham Forest,7
266,2022-04-08,Wandsworth,5
267,2022-04-09,Barking and Dagenham,14
268,2022-04-09,Barnet,9
269,2022-04-09,Bexley,3
270,2022-04-09,Brent,9
271,2022-04-09,Bromley,9
272,2022-04-09,Camden,16
273,2022-04-09,City of Westminster,47
274,2022-04-09,Croydon,19
275,2022-04-09,Ealing,7
276,2022-04-09,Enfield,6
277,2022-04-09,Greenwich,8
278,2022-04-09,Hackney,16
279,2022-04-09,Hammersmith and Fulham,6
280,2022-04-09,Haringey,9
281,2022-04-09,Harrow,7
282,2022-04-09,Havering,22
283,2022-04-09,Heathrow,1
284,2022-04-09,Hillingdon,5
285,2022-04-09,Hounslow,6
286,2022-04-09,Islington,19
287,2022-04-09,Kensington and Chelsea,4
288,2022-04-09,Kingston upon Thames,5
289,2022-04-09,Lambeth,13
290,2022-04-09,Lewisham,6
291,2022-04-09,Newham,8
292,2022-04-09,Out of force,5
293,2022-04-09,Redbridge,16
294,2022-04-09,Richmond upon Thames,2
295,2022-04-09,Southwark,11
296,2022-04-09,Sutton,3
297,2022-04-09,Tower Hamlets,12
298,2022-04-09,Waltham Forest,5
299,2022-04-09,Wandsworth,10
300,2022-04-10,Barking and Dagenham,18
301,2022-04-10,Barnet,12
302,2022-04-10,Bexley,9
303,2022-04-10,Brent,10
304,2022-04-10,Bromley,13
305,2022-04-10,Camden,17
306,2022-04-10,City of Westminster,34
307,2022-04-10,Croydon,26
308,2022-04-10,Ealing,20
309,2022-04-10,Enfield,23
310,2022-04-10,Greenwich,10
